ID,Date,Provider,Service,Resource ID,Amount,Currency,Cost Center,Team,Environment
be68e0f8-9f38-4023-be6c-b94ef6a3a220,2026-05-27,AWS,EC2,aws-ec2-res,125.87,USD,Engineering,Backend Core,Production
4fe476ce-0d1a-4b15-acfb-e4975263fde9,2026-05-27,AWS,RDS,aws-rds-res,79.07,USD,Engineering,Backend Core,Production
b9e838e7-f066-4c03-94bf-adc9caf836a0,2026-05-27,AWS,S3,aws-s3-res,35.67,USD,Engineering,Data Platform,Production
4de6389b-00f2-466d-872b-2605cc1b52db,2026-05-27,AWS,Lambda,aws-lambda-res,8.68,USD,Finance,Payments,Production
7ad281d1-4212-4655-a643-b77da6b3c923,2026-05-27,AWS,EBS,aws-ebs-res,14.94,USD,Infrastructure,DevOps,Staging
7ed9b6d1-1761-4d3d-824c-f0f9cb9206d0,2026-05-27,AZURE,Virtual Machines,azure-virtual machines-res,33.92,USD,Finance,Risk Modeling,Production
66ac55c3-1020-4277-9b90-e7fce74564c7,2026-05-27,AZURE,Azure SQL,azure-azure sql-res,43.54,USD,Finance,Accounting,Production
674cc3fc-5f21-499d-bb31-bfb9885b1830,2026-05-27,AZURE,Blob Storage,azure-blob storage-res,14.85,USD,Legal,Compliance,Production
c1790926-fdb0-4479-9f44-b6be8253b43b,2026-05-27,GCP,BigQuery,gcp-bigquery-res,71.36,USD,Data Science,BI & Analytics,Production
f702d184-ee39-44fb-87d6-741fea7effb9,2026-05-27,GCP,Compute Engine,gcp-compute engine-res,28.98,USD,Data Science,Machine Learning,Production
4995c360-3757-43ba-8ae0-bc5f570d08a2,2026-05-27,GCP,Cloud Storage,gcp-cloud storage-res,12.49,USD,Data Science,Machine Learning,Production
42d98706-18db-44e1-8fcb-17f38f1c1033,2026-05-28,AWS,EC2,aws-ec2-res,114.35,USD,Engineering,Backend Core,Production
605f2b76-700d-4081-bf63-ba84952e95dc,2026-05-28,AWS,RDS,aws-rds-res,75.09,USD,Engineering,Backend Core,Production
dac40051-48f6-4907-be3d-ed32f97f8d9d,2026-05-28,AWS,S3,aws-s3-res,32.0,USD,Engineering,Data Platform,Production
89be09df-57ca-483b-acbb-d8b576b1e6dc,2026-05-28,AWS,Lambda,aws-lambda-res,9.04,USD,Finance,Payments,Production
d1a28908-2830-41ac-be03-6661ee3677db,2026-05-28,AWS,EBS,aws-ebs-res,15.27,USD,Infrastructure,DevOps,Staging
55814728-5510-4742-8412-c33d38fca200,2026-05-28,AZURE,Virtual Machines,azure-virtual machines-res,36.82,USD,Finance,Risk Modeling,Production
b426fc83-b7f4-4cf0-967a-ad35c613fa83,2026-05-28,AZURE,Azure SQL,azure-azure sql-res,43.16,USD,Finance,Accounting,Production
